2.5,4.5,-66,-72,-73,-67,-77,-83,-35,-42,-100,-100,-100,-100,-100,-100,-100
3,4.5,-61,-70,-79,-75,-76,-79,-38,-61,-100,-100,-100,-100,-100,-100,-100
3,5,-65,-87,-79,-74,-75,-72,-32,-58,-100,-100,-100,-100,-100,-100,-100
3,5.5,-70,-76,-74,-74,-68,-71,-27,-31,-100,-100,-100,-100,-100,-100,-100
3,6,-71,-70,-78,-72,-76,-68,-30,-53,-100,-100,-100,-100,-100,-100,-100
3,6.5,-75,-68,-65,-76,-73,-76,-26,-46,-100,-100,-100,-100,-100,-100,-100
3.5,4.5,-70,-74,-72,-65,-72,-83,-33,-41,-100,-100,-100,-100,-100,-100,-100
3.5,5,-61,-72,-69,-63,-66,-72,-32,-37,-100,-100,-100,-100,-100,-100,-100
3.5,5.5,-73,-87,-69,-69,-66,-72,-26,-56,-100,-100,-100,-100,-100,-100,-100
3.5,6,-65,-71,-64,-67,-63,-76,-27,-76,-100,-100,-100,-100,-100,-100,-100
4,4.5,-66,-67,-72,-69,-64,-74,-35,-60,-100,-100,-100,-100,-100,-100,-100
4,5,-67,-65,-69,-72,-65,-72,-30,-66,-100,-100,-100,-100,-100,-100,-100
4,5.5,-60,-74,-74,-73,-63,-73,-25,-46,-100,-100,-100,-100,-100,-100,-100
4.5,4.5,-70,-64,-71,-66,-69,-74,-26,-53,-100,-100,-100,-100,-100,-100,-100
4.5,5,-68,-70,-88,-69,-65,-72,-24,-32,-100,-100,-100,-100,-100,-100,-100
5,4.5,-65,-67,-71,-69,-71,-76,-29,-41,-100,-100,-100,-100,-100,-100,-100
5,5,-74,-64,-83,-64,-66,-69,-34,-41,-100,-100,-100,-100,-100,-100,-100
5.5,4.5,-71,-78,-77,-68,-66,-75,-31,-56,-100,-100,-100,-100,-100,-100,-100
5.5,5,-73,-70,-73,-66,-65,-65,-31,-74,-100,-100,-100,-100,-100,-100,-100
5.5,5.5,-77,-67,-72,-67,-61,-81,-28,-70,-100,-100,-100,-100,-100,-100,-100
5.5,6,-67,-62,-76,-70,-62,-65,-31,-31,-100,-100,-100,-100,-100,-100,-100
6,2,-75,-71,-87,-61,-67,-73,-45,-49,-100,-100,-100,-100,-100,-100,-100
6,2.5,-72,-75,-81,-57,-68,-71,-44,-51,-100,-100,-100,-100,-100,-100,-100
6,3,-73,-77,-74,-60,-67,-68,-41,-58,-100,-100,-100,-100,-100,-100,-100
6,3.5,-79,-71,-73,-59,-66,-65,-40,-60,-100,-100,-100,-100,-100,-100,-100
6,4,-70,-72,-77,-61,-64,-71,-38,-55,-100,-100,-100,-100,-100,-100,-100
6,4.5,-74,-84,-69,-61,-65,-71,-35,-42,-100,-100,-100,-100,-100,-100,-100
6,5,-74,-67,-76,-55,-59,-67,-37,-34,-100,-100,-100,-100,-100,-100,-100
6,5.5,-68,-61,-69,-62,-63,-70,-40,-54,-100,-100,-100,-100,-100,-100,-100
6,6,-82,-61,-72,-63,-57,-75,-43,-71,-100,-100,-100,-100,-100,-100,-100
6.5,2,-72,-75,-75,-67,-69,-69,-44,-53,-100,-100,-100,-100,-100,-100,-100
6.5,2.5,-81,-72,-84,-87,-68,-72,-41,-64,-100,-100,-100,-100,-100,-100,-100
6.5,3,-73,-71,-91,-61,-83,-71,-38,-62,-100,-100,-100,-100,-100,-100,-100
6.5,3.5,-71,-82,-75,-62,-62,-70,-32,-69,-100,-100,-100,-100,-100,-100,-100
6.5,4,-69,-67,-73,-68,-75,-62,-39,-45,-100,-100,-100,-100,-100,-100,-100
7,2,-69,-76,-78,-60,-71,-74,-48,-57,-100,-100,-100,-100,-100,-100,-100
7,2.5,-67,-74,-73,-63,-70,-68,-40,-46,-100,-100,-100,-100,-100,-100,-100
